"user_id","product_sku"
55,"komplete-audio-2"
55,"reaktor-6"
56,"komplete-kontrol-s61"
56,"komplete-audio-2"
56,"komplete-12"
57,"traktor-kontrol-s4"
57,"traktor-kontrol-s8"
57,"traktor-pro-3"
58,"guitar-rig-5"
58,"una-corda"
58,"kontakt-6"
59,"lone-forest"
59,"massive"
59,"maschine"
60,"maschine-jam"
60,"massive"
60,"maschine"
61,"komplete-kontrol-s49-black"
61,"komplete-audio-2"
61,"komplete-12"
62,"traktor-kontrol-s8"
62,"traktor-kontrol-z2"
62,"traktor-pro-3"
63,"maschine-jam"
63,"massive"
63,"maschine"
64,"traktor-kontrol-s8"
64,"traktor-kontrol-z2"
64,"traktor-pro-3"
65,"traktor-kontrol-s8"
65,"traktor-kontrol-z2"
65,"traktor-pro-3"
66,"una-corda"
66,"komplete-kontrol-m32"
66,"kontakt-6"
67,"traktor-kontrol-s8"
67,"traktor-kontrol-z2"
67,"traktor-pro-3"
68,"battery-4"
68,"komplete-kontrol-m32"
68,"kontakt-6"
69,"komplete-kontrol-s49-black"
69,"komplete-audio-2"
69,"komplete-12"
70,"massive"
70,"komplete-audio-2"
70,"reaktor-6"
71,"traktor-kontrol-s8"
71,"traktor-kontrol-z2"
71,"traktor-pro-3"
72,"guitar-rig-5"
72,"battery-4"
72,"kontakt-6"
73,"lone-forest"
73,"massive"
73,"maschine"
74,"massive"
74,"komplete-audio-2"
74,"reaktor-6"
75,"battery-4"
75,"una-corda"
75,"kontakt-6"
76,"maschine-jam"
76,"massive"
76,"maschine"
77,"una-corda"
77,"komplete-kontrol-m32"
77,"kontakt-6"
78,"massive"
78,"komplete-audio-2"
78,"reaktor-6"
79,"komplete-kontrol-s61"
79,"komplete-audio-2"
79,"komplete-12"
80,"guitar-rig-5"
80,"komplete-kontrol-m32"
80,"kontakt-6"
81,"massive"
81,"komplete-audio-2"
81,"reaktor-6"
82,"komplete-kontrol-s49-black"
82,"komplete-audio-2"
82,"komplete-12"
83,"traktor-kontrol-s4"
83,"traktor-kontrol-z2"
83,"traktor-pro-3"
84,"lone-forest"
84,"massive"
84,"maschine"
85,"traktor-kontrol-s4"
85,"traktor-kontrol-z2"
85,"traktor-pro-3"
86,"guitar-rig-5"
86,"una-corda"
86,"kontakt-6"
87,"komplete-kontrol-s49-black"
87,"komplete-audio-2"
87,"komplete-12"
88,"maschine-jam"
88,"lone-forest"
88,"maschine"
89,"battery-4"
89,"una-corda"
89,"kontakt-6"
90,"maschine-jam"
90,"lone-forest"
90,"maschine"
91,"traktor-kontrol-s8"
91,"traktor-kontrol-z2"
91,"traktor-pro-3"
92,"lone-forest"
92,"massive"
92,"maschine"
93,"guitar-rig-5"
93,"una-corda"
93,"kontakt-6"
94,"lone-forest"
94,"massive"
94,"maschine"
95,"una-corda"
95,"komplete-kontrol-m32"
95,"kontakt-6"
96,"maschine-jam"
96,"lone-forest"
96,"maschine"
97,"massive"
97,"komplete-audio-2"
97,"reaktor-6"
98,"massive"
98,"komplete-audio-2"
98,"reaktor-6"
99,"maschine-jam"
99,"lone-forest"
99,"maschine"
100,"traktor-kontrol-s8"
100,"traktor-kontrol-z2"
100,"traktor-pro-3"
102,"maschine"
103,"traktor-pro-3"
104,"komplete-12"
105,"kontakt-6"
106,"reaktor-6"
